,pre_Pregunta 2,pre_Pregunta 3,pre_Pregunta 4,pre_Pregunta 5,pre_Pregunta 6,pre_Pregunta 7,pre_Pregunta 8,pre_Pregunta 9,pre_Pregunta 10,pre_Pregunta 11,pre_Pregunta 12,pre_Pregunta 13,pre_Pregunta 14,pre_Pregunta 15,post_Pregunta 2,post_Pregunta 3,post_Pregunta 4,post_Pregunta 5,post_Pregunta 6,post_Pregunta 7,post_Pregunta 8,post_Pregunta 9,post_Pregunta 10,post_Pregunta 11,post_Pregunta 12,post_Pregunta 13,post_Pregunta 14,post_Pregunta 15,pre_¿Cuál es tu sexo?,pre_Curso,pre_Pregunta 17,post_Pregunta 17,post_Pregunta 18,post_Pregunta 19,pre sum,post sum,difference
5117,1.0,1.0,0.0,0,0.0,0.0,1,0.0,1,1,0.25,0.25,0.5,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.5,0.25,1.0,0.25,Chico,6º Primaria,Sí,5.0,4.0,De reconocimiento de textos,6.5,10.0,3.5
5104,1.0,1.0,1.0,0,0.0,1.0,1,0.0,1,0,0.25,0.5,0.75,0.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.25,0.5,0.5,Chico,6º Primaria,Sí,4.0,3.0,De reconocimiento de textos,8.0,8.75,0.75
5111,1.0,0.0,0.0,0,0.0,1.0,1,1.0,1,1,0.5,0.25,0.75,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.5,0.75,0.5,Chica,6º Primaria,Sí,5.0,3.0,He hecho proyectos de los dos tipos,8.0,7.25,-0.75
5823,0.0,0.0,1.0,0,1.0,0.0,0,0.0,1,1,0.25,0.0,0.75,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.0,0.25,1.0,Chico,5º Primaria,No,4.0,3.0,De reconocimiento de textos,5.0,8.5,3.5
4117,1.0,1.0,1.0,0,1.0,1.0,1,1.0,1,1,0.5,1.0,0.75,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.5,0.5,Chica,4º ESO,Sí,5.0,5.0,He hecho proyectos de los dos tipos,11.75,12.75,1.0
218,1.0,1.0,1.0,0,1.0,1.0,1,1.0,1,1,0.75,0.5,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.5,Chico,4º ESO,Sí,5.0,4.0,De reconocimiento de imágenes,12.0,12.25,0.25
223,1.0,0.0,1.0,1,1.0,1.0,1,1.0,1,1,0.5,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.75,0.75,Chico,4º ESO,Sí,5.0,4.0,De reconocimiento de imágenes,11.75,13.25,1.5
6203,1.0,1.0,0.0,1,1.0,0.0,1,0.0,0,1,0.5,0.5,0.75,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.5,1.0,0.75,Chico,3º ESO,Sí,5.0,5.0,De reconocimiento de textos,8.25,12.0,3.75
1012,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1,1,0.5,0.25,0.75,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,Chica,4º ESO,Sí,5.0,5.0,De reconocimiento de textos,11.75,13.0,1.25
6244,1.0,1.0,0.0,1,1.0,1.0,1,1.0,0,0,0.0,1.0,1.0,0.75,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.25,1.0,0.0,0.5,Chico,1º ESO,Sí,2.0,3.0,De reconocimiento de textos,9.75,7.75,-2.0
1001,0.0,1.0,0.0,1,1.0,1.0,1,1.0,1,1,0.25,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.25,0.25,1.0,Chica,4º ESO,Sí,5.0,5.0,De reconocimiento de textos,9.75,11.0,1.25
1004,1.0,1.0,1.0,1,1.0,1.0,1,0.0,1,1,0.75,0.5,0.25,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.75,0.5,0.5,Chica,4º ESO,Sí,4.0,3.0,De reconocimiento de textos,11.0,10.25,-0.75
1007,1.0,1.0,1.0,1,0.0,0.0,0,0.0,1,1,0.75,0.5,0.75,0.75,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.0,0.25,1.0,Chico,4º ESO,Sí,5.0,5.0,De reconocimiento de imágenes,8.75,8.75,0.0
1003,1.0,1.0,1.0,1,1.0,1.0,1,1.0,0,1,0.75,0.5,0.5,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.25,0.25,0.25,0.75,Chica,4º ESO,No,5.0,5.0,De reconocimiento de textos,11.5,10.5,-1.0
1032,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1,0,0.5,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.25,1.0,0.75,Chico,4º ESO,Sí,5.0,4.0,De reconocimiento de textos,11.75,12.75,1.0
1021,1.0,1.0,0.0,0,0.0,1.0,1,1.0,1,0,0.25,0.5,0.5,0.25,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.75,0.5,0.25,Chico,4º ESO,No,3.0,2.0,De reconocimiento de textos,7.5,6.5,-1.0
1023,1.0,1.0,1.0,0,0.0,1.0,0,0.0,1,1,0.25,1.0,0.75,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.25,1.0,0.75,0.5,Chico,4º ESO,Sí,4.0,3.0,De reconocimiento de textos,8.5,10.5,2.0
6214,1.0,0.0,0.0,1,0.0,0.0,1,1.0,1,0,0.25,0.75,0.75,0.25,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.5,0.25,0.5,Chico,3º ESO,Sí,4.0,3.0,De reconocimiento de textos,7.0,11.0,4.0
6208,0.0,1.0,0.0,0,1.0,1.0,1,0.0,0,1,0.5,0.25,0.5,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.25,1.0,0.75,Chica,3º ESO,Sí,5.0,4.0,De reconocimiento de textos,7.0,12.0,5.0
6210,0.0,1.0,1.0,1,0.0,0.0,1,1.0,1,0,0.75,0.75,0.5,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.75,0.25,0.75,0.5,Chica,3º ESO,Sí,2.0,3.0,De reconocimiento de imágenes,8.25,4.25,-4.0
