,pre_Pregunta 2,pre_Pregunta 3,pre_Pregunta 4,pre_Pregunta 5,pre_Pregunta 6,pre_Pregunta 7,pre_Pregunta 8,pre_Pregunta 9,pre_Pregunta 10,pre_Pregunta 11,pre_Pregunta 12,pre_Pregunta 13,pre_Pregunta 14,pre_Pregunta 15,post_Pregunta 2,post_Pregunta 3,post_Pregunta 4,post_Pregunta 5,post_Pregunta 6,post_Pregunta 7,post_Pregunta 8,post_Pregunta 9,post_Pregunta 10,post_Pregunta 11,post_Pregunta 12,post_Pregunta 13,post_Pregunta 14,post_Pregunta 15,pre_¿Cuál es tu sexo?,pre_Curso,pre_Pregunta 17,post_Pregunta 17,post_Pregunta 18,post_Pregunta 19,pre sum,post sum,difference
5811,1.0,1.0,1.0,0,1.0,1.0,0,1.0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.25,0.25,1.0,Chica,5º Primaria,Sí,4.0,2.0,De reconocimiento de textos,7.0,8.5,1.5
5815,0.0,1.0,0.0,0,0.0,1.0,1,1.0,1,1,0.0,1.0,1.0,0.75,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,Chico,5º Primaria,No,5.0,4.0,De reconocimiento de textos,8.75,11.0,2.25
2299,1.0,1.0,1.0,1,1.0,1.0,1,0.0,1,1,1.0,0.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,Chico,3º ESO,Sí,4.0,4.0,He hecho proyectos de los dos tipos,11.75,13.0,1.25
3134,1.0,1.0,1.0,1,1.0,1.0,1,1.0,0,0,0.5,0.5,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.0,0.75,Chica,4º ESO,Sí,5.0,5.0,He hecho proyectos de los dos tipos,10.5,11.5,1.0
5852,1.0,1.0,1.0,1,1.0,0.0,1,0.0,0,1,0.5,0.25,0.75,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.75,0.5,0.5,Chica,5º Primaria,No,4.0,5.0,He hecho proyectos de los dos tipos,8.75,12.25,3.5
3125,0.0,1.0,1.0,0,0.0,1.0,1,0.0,0,0,0.75,1.0,1.0,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,0.5,0.75,0.5,Chica,4º ESO,No,4.0,4.0,De reconocimiento de textos,7.5,10.5,3.0
3105,1.0,1.0,1.0,1,0.0,1.0,1,1.0,1,1,0.25,0.75,1.0,0.5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,0.5,Chica,4º ESO,No,4.0,2.0,He hecho proyectos de los dos tipos,11.5,12.0,0.5
5812,1.0,0.0,0.0,0,0.0,0.0,0,0.0,1,1,0.25,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.25,1.0,0.5,Chico,5º Primaria,"No, pero he programado en otro lenguage",5.0,4.0,De reconocimiento de imágenes,6.25,11.5,5.25
3138,1.0,1.0,0.0,0,1.0,1.0,1,0.0,1,0,0.5,0.75,0.25,0.25,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.5,0.75,0.25,0.75,Chica,4º ESO,Sí,4.0,3.0,De reconocimiento de textos,7.75,9.25,1.5
5159,0.0,0.0,0.0,1,1.0,1.0,0,1.0,1,0,0.25,0.5,0.75,0.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.75,0.75,0.25,Chica,6º Primaria,Sí,4.0,2.0,He hecho proyectos de los dos tipos,7.0,5.0,-2.0
5801,1.0,1.0,0.0,0,1.0,0.0,0,1.0,1,0,0.5,0.75,0.5,0.75,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.25,0.75,0.75,0.5,Chica,5º Primaria,No,5.0,3.0,De reconocimiento de textos,7.5,9.25,1.75
5118,1.0,1.0,0.0,0,0.0,1.0,1,1.0,1,1,0.5,0.75,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.25,0.5,1.0,0.25,Chico,6º Primaria,Sí,4.0,3.0,He hecho proyectos de los dos tipos,9.75,10.0,0.25
5170,0.0,1.0,1.0,1,0.0,1.0,1,0.0,1,0,0.0,0.75,1.0,0.5,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.25,0.75,0.75,1.0,Chica,6º Primaria,No,5.0,2.0,He hecho proyectos de los dos tipos,8.25,8.75,0.5
4900,1.0,1.0,1.0,1,1.0,1.0,1,1.0,1,1,0.5,0.75,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,1.0,Chico,1º ESO,Sí,5.0,4.0,De reconocimiento de imágenes,13.0,13.5,0.5
5600,0.0,1.0,0.0,0,0.0,0.0,1,1.0,1,0,0.25,0.0,0.25,0.5,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.25,1.0,1.0,Chica,5º Primaria,Sí,5.0,4.0,De reconocimiento de imágenes,5.0,9.25,4.25
