,pre_¿Cuál es tu sexo?,pre_Curso,pre_Dispositivo electrónico,pre_Pregunta 1,pre_Pregunta 2,pre_Pregunta 3,pre_Pregunta 4,pre_Pregunta 5,pre_Pregunta 6,pre_Pregunta 7,pre_Pregunta 8,pre_Pregunta 9,pre_Pregunta 10,pre_Pregunta 11,pre_Pregunta 12,pre_Pregunta 13,pre_Pregunta 14,pre_Pregunta 15,pre_Pregunta 16,pre_Pregunta 17,pre_Pregunta 18,post_¿Cuál es tu sexo?,post_Curso,post_Dispositivo electrónico,post_Pregunta 1,post_Pregunta 2,post_Pregunta 3,post_Pregunta 4,post_Pregunta 5,post_Pregunta 6,post_Pregunta 7,post_Pregunta 8,post_Pregunta 9,post_Pregunta 10,post_Pregunta 11,post_Pregunta 12,post_Pregunta 13,post_Pregunta 14,post_Pregunta 15,post_Pregunta 16,post_Pregunta 17,post_Pregunta 18,post_Pregunta 19,post_Pregunta 20,post_Pregunta 21
5811,Chica,5º Primaria,Teléfono móvil,Inteligencia hecha por ordenador,1,1,1,0,1,1,0,1,0,0,0.0,0.0,0.0,1.0,Quitarnos el trabajo,Sí,,Chica,5º Primaria,Ordenador fijo,inteligencia falsa ,1,1,1,0,1,1,0,1,1,0,0,0.25,0.25,1,quitara trabajo y habra mas desempleo,4,2,De reconocimiento de textos,para reconocer textos,que sea mas facil para guardar y para hacer
5815,Chico,5º Primaria,Ordenador portátil, ,0,1,0,0,0,1,1,1,1,1,0.0,1.0,1.0,0.75,Que se puede descontrolar.,No,,Chico,5º Primaria,Ordenador portátil,,0,1,0,1,1,1,1,1,1,1,0.5,1,1,0.5,,5,4,De reconocimiento de textos,,
2299,Chico,3º ESO,Ordenador portátil,"La capacidad que puede llegar a tener un dispositivo electrónico de conocimiento respecto a los problemas que se enfrente. Por ejemplo: identificación de fotografías, de textos, etc.",1,1,1,1,1,1,1,0,1,1,1.0,0.0,0.75,1.0,"Que acabe quitando puestos de trabajo a la sociedad. Que exista corrupción en la cual, alguien quiera tener datos de las personas y paguen al creador de la IA correspondiente, por lo cual la sociedad tenga menos privacidad.",Sí,"No hice mucho y no me acuerdo de casi nada. Tampoco publiqué mis proyectos, aunque eran muy simples.",Chico,3º ESO,Ordenador portátil,"Es una definición compleja, pero consiste en cómo una computadora a través de unos elementos que le das puede ser capaz de aprenderlos y cuando le pongas un elemento diferente sea capaz de identificarlo.",1,1,1,1,1,1,1,1,1,1,1,0,1,1,Menor privacidad y que con esos datos se pueda realizar una especie de tráfico de big data.,4,4,He hecho proyectos de los dos tipos,Para que Learning ML sea capaz de saber qué tipo de texto es el que se ha puesto en el programa e identificarlo.,Ninguna
3134,Chica,4º ESO,Ordenador portátil,Un software que se utiliza para que te ayude a realizarfunciones complejas.,1,1,1,1,1,1,1,1,0,0,0.5,0.5,0.75,0.75,,Sí,https://scratch.mit.edu/projects/399895526/editor,Chica,4º ESO,Ordenador portátil,aquello que requiere una máquina con inteligencia para resolver problemas.,1,1,1,1,1,1,1,1,1,1,0.5,0.25,0,0.75,"Las máquinas sustituirán a los humanos, reduciendo empleo. También se puede emplear para fines negativos como una guerra.",5,5,He hecho proyectos de los dos tipos,"para clasificar al texto recibido a uno de los grupos previamente escritos, lo reconoce y le asigna a la clasificación a la que se asemeje más.","que el fondo no afecte, en mi caso cambiaba el gesto de la mano, pero mi cara detrás de esta afectaba al resultado."
5852,Chica,5º Primaria,Ordenador portátil,crec  que es una maquina que controla per exemple un robot,1,1,1,1,1,0,1,0,0,1,0.5,0.25,0.75,0.25,,No,,Chica,5º Primaria,Teléfono móvil,Es una inteligencia que si tu poses coses va aprenen segons lo que tu has posat,1,1,1,1,1,1,1,1,1,1,0.5,0.75,0.5,0.5,,4,5,He hecho proyectos de los dos tipos,Para poner un texto que pusiste en la aplicacion de LM y como esta conectado ya te clasigicara de que tema es,Ninguna me a pareciso bien lo que estava hecho y es super facil de usar
3125,Chica,4º ESO,Ordenador portátil,"Es una rama de la informática, que permite que las máquinas aprendan con experiencia y después poder hacer tareas como las personas.",0,1,1,0,0,1,1,0,0,0,0.75,1.0,1.0,0.75,No conozco ningún peligro,No,https://scratch.mit.edu/projects/400181533/editor,Chica,4º ESO,Ordenador portátil," Es una de las ramas de la Informática, que hace posible que las máquinas aprendan de la experiencia, se ajusten a nuevas aportaciones y realicen tareas como seres humanos",0,1,1,1,1,1,1,1,1,0,0.75,0.5,0.75,0.5,no conozco ninguno,4,4,De reconocimiento de textos,para recopilar información ,ninguna
3105,Chica,4º ESO,Ordenador portátil,Es la informática en la que las máquinas piensan como seres humanos.,1,1,1,1,0,1,1,1,1,1,0.25,0.75,1.0,0.5,"Armas autónomas,Manipular a la sociedad, Invasión de la privacidad para oprimir socialmente,Divergencia entre nuestros objetivos y los de la máquina de IA, Discriminación...",No,"El ordenador no me deja, pero mi favorito fue el del laberinto.",Chica,4º ESO,Ordenador portátil,La inteligencia artificial es la inteligencia llevada a cabo por máquinas.,1,1,1,1,0,1,1,1,1,1,0.75,0.75,1,0.5,"Los riesgos fundamentales son tres: accidentes, malos usos y carreras de armas. Los sistemas de inteligencia artificial en ocasiones funcionan mal.",4,2,He hecho proyectos de los dos tipos,Para escribir los contenidos que queremos introducir en el escrito.,"Más facilidades, y menos herramientas, hay demasiadas y nos podemos confundir."
5812,Chico,5º Primaria,Ordenador portátil,la inteligencia artificial la contiene un dispositivo electrónico que puede hacerte un escaner facial para saber si eres el dueño o para saber que sentimiento sientes,1,0,0,0,0,0,0,0,1,1,0.25,1.0,1.0,1.0,,"No, pero he programado en otro lenguage",,Chico,5º Primaria,Ordenador portátil,creo que es un dispositivo electronico ,1,1,0,1,1,1,1,1,1,1,0.75,0.25,1,0.5,,5,4,De reconocimiento de imágenes,,ninguna
3138,Chica,4º ESO,Teléfono móvil,"Una inteligencia que no es humana, es decir, que no es la natural, que es de las máqunas o algo parecido",1,1,0,0,1,1,1,0,1,0,0.5,0.75,0.25,0.25,que las máquinas pueden llegar a ser mucho más listas que nosotros yse podrían poner en contra nuestro.,Sí,los tengo en otro ordenador,Chica,4º ESO,Ordenador portátil,"La inteligencia que no es humana, sino la del los aparatos electrónicos y similares",1,1,0,1,1,1,1,0,1,0,0.5,0.75,0.25,0.75,pueden llegar a ser mejores que nosotros y dominarnos/controlarnos,4,3,De reconocimiento de textos,"te dice cómo es el texto (positivo/negativo, bueno/malo) dependiendo las etiquetas que hayas puesto.",ninguna
1034,Chica,4º ESO,Ordenador portátil,un equipo o maquina inteligente,1,0,1,1,,1,1,1,1,1,0.75,1.0,0.5,0.5,,"No, pero he programado en otro lenguage",,Chica,4º ESO,Ordenador portátil,la inteligencia artificial es todo lo que una computador/maquina pueda resolver algún problemas de inteligencia,1,1,1,0,1,1,1,0,1,1,0.5,0.5,0.5,0.75,si no es bien usada puede causar muchos problemas c,4,3,De reconocimiento de textos,para hacer que la respuesta que proporcione el sujeto se ocupe el sistema de ml,mejores opciones de guardado
5159,Chica,6º Primaria,Tableta,Pues que esta hecho por una cosa por ejemplo  una fábrica ,0,0,0,1,1,1,0,1,1,0,0.25,0.5,0.75,0.5,Pues que siempre hay algún problema que puede causar muchos  daños ,Sí,,Chica,6º Primaria,Tableta,Pues que esta credo por una maquina o fabrica,1,0,0,1,0,1,0,0,0,0,0.25,0.75,0.75,0.25,Pues que todo puede passar en la inteligencia artificial ,4,2,He hecho proyectos de los dos tipos,Per poser escriure,Yo creo que esta bien
5814,Chica,5º Primaria,Ordenador portátil,,,1,1,0,0,1,0,0,1,1,0.5,0.75,0.5,0.75,No conozco ninguno la verdad ,No,Nunca he programado un Scratch ,Chica,5º Primaria,Ordenador portátil,"Yo creo que la inteligencia artificial es una inteligencia que utilizan los robots, mobiles...",,1,,0,0,1,1,0,1,1,0.5,0.75,0.5,0.5,No conozco ninguno,4,2,De reconocimiento de textos,,
5801,Chica,5º Primaria,Tableta,"Es por ejemplo en Netflix,tú ves u a serie i te hace sugerencias que tienen que ver con la serie que estás viendo o películas que ves.",1,1,0,0,1,0,0,1,1,0,0.5,0.75,0.5,0.75,,No,No e programado ningun Scratch,Chica,5º Primaria,Tableta,"Es una inteligencia programada en los ordenadores,moviles...que por ejemplo si tú ves una serie después,la tablet,ordenador...te recomendará series similares a la que has visto o también programar un robot y que se aprenda las frases que has programado.",1,1,0,0,1,1,1,0,1,1,0.25,0.75,0.75,0.5,No los conozco,5,3,De reconocimiento de textos,Para poner el bloque de respuesta y que  reconozca la frase,"Creo que nada,está muy bien"
5118,Chico,6º Primaria,Ordenador portátil,Es como un ser vivo creado por humanos.,1,1,0,0,0,1,1,1,1,1,0.5,0.75,1.0,0.5,Que algo salga o se programe mal y se puede hacer una catástrofe.,Sí,https://scratch.mit.edu/projects/347183872,Chico,6º Primaria,Ordenador portátil,Un objeto con una función.,1,1,0,1,1,1,1,0,1,1,0.25,0.5,1,0.25,Que algo no se haya programado bien y pueda provocar una catástrofe.,4,3,He hecho proyectos de los dos tipos,Para poder clasificar la acción que desees.,Todo está bien.
5170,Chica,6º Primaria,Ordenador portátil,yo creo que es como un sistema que piensa como las personas como un robot,0,1,1,1,0,1,1,0,1,0,0.0,0.75,1.0,0.5,Son robots y entonces seria dificil de que te entiendan,No,No porque estabamos en confinamiento,Chica,6º Primaria,Ordenador portátil,Jo crec que son com màquines com robots,0,1,1,0,0,1,1,0,1,1,0.25,0.75,0.75,1,que te fallen o esten mal hechos.,5,2,He hecho proyectos de los dos tipos,que se tiene que classificar,mejorar los textos
4900,Chico,1º ESO,Ordenador portátil,"es el proceso por el cual, una máquina aprende sola de su experiencia",1,1,1,1,1,1,1,1,1,1,0.5,0.75,1.0,0.75,cuando se crea la (IA) se le está  dando conciencia de sí mismo por eso se debe programar con las tres leyes de la robótica  para que no dañe al ser humano en su veneficio,Sí,https://scratch.mit.edu/projects/174072337/    y    https://scratch.mit.edu/projects/178852499/  y   ,Chico,1º ESO,Ordenador fijo,cualquier cosa que tenga que ver con que una maquina use algo de inteligencia,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,1,Que si le damos conciencia de sí mima  hará lo que sea para salvarse,5,4,De reconocimiento de imágenes,te devuelve la clase de texto mas probable,"Pienso que si en el ejercicio de la prehistoria contestamos con una frase como ""Comían piedras y se bañaban en fuego"" me diría que es del Paleolítico, entonces creo que deberiamos poder enseñar al LML de texto, palabras que no deben coincidir en la misma frase para que la inteligencia artificial fuera más inteligente"
5600,Chica,5º Primaria,Ordenador portátil,"Algo que sabe mucho,como los robots, pero que depende de una persona porque ellos son unas máquinas.",0,1,0,0,0,0,1,1,1,0,0.25,0.0,0.25,0.5,que te roben la información,Sí,,Chica,5º Primaria,Teléfono móvil,Que una máquina resuelva un problema y necesite algo de inteligencia ,1,1,0,1,1,0,1,0,1,0,1,0.25,1,1,Los datos personales ,5,4,De reconocimiento de imágenes,Es el modelo,Me parecen todas las vistas geniales
