,pre_¿Cuál es tu sexo?,pre_Curso,pre_Dispositivo electrónico,pre_Pregunta 1,pre_Pregunta 2,pre_Pregunta 3,pre_Pregunta 4,pre_Pregunta 5,pre_Pregunta 6,pre_Pregunta 7,pre_Pregunta 8,pre_Pregunta 9,pre_Pregunta 10,pre_Pregunta 11,pre_Pregunta 12,pre_Pregunta 13,pre_Pregunta 14,pre_Pregunta 15,pre_Pregunta 16,pre_Pregunta 17,pre_Pregunta 18,post_¿Cuál es tu sexo?,post_Curso,post_Dispositivo electrónico,post_Pregunta 1,post_Pregunta 2,post_Pregunta 3,post_Pregunta 4,post_Pregunta 5,post_Pregunta 6,post_Pregunta 7,post_Pregunta 8,post_Pregunta 9,post_Pregunta 10,post_Pregunta 11,post_Pregunta 12,post_Pregunta 13,post_Pregunta 14,post_Pregunta 15,post_Pregunta 16,post_Pregunta 17,post_Pregunta 18,post_Pregunta 19,post_Pregunta 20,post_Pregunta 21
5155,Chico,6º Primaria,Ordenador fijo,La inteligencia artificial(IA) es el propósito de crear máquinas que presenten las mismas capacidades que el ser humano. ,1,1,1,1,0,1,1,1,1,1,0.75,0.25,1.0,1.0,"1-)Las redes sociales pueden ser una gran fuente para obtener información sobre cualquier persona, y además de utilizarse para el marketing y brindar anuncios específicos para cada persona.

2-)Son peligrosas por que puedan convertirse en armas autónomas completamente y actuar sin supervisión sino por las personas que puedan tenerlas en sus manos.

",Sí,No puedo poner el enlace porque no tengo los datos de la cuenta.,Chico,6º Primaria,Ordenador fijo,Es un sistema operativo que piensa y aprende por si solo. ,1,1,0,1,0,1,1,0,1,1,0.25,1,0.75,1,"1-Armas autónomas: Las armas programadas para matar suponen un grave riesgo en el futuro. Es posible que los armamentos nucleares se vean sustituidos por armas autónomas.

2-Invasión de la privacidad:Es posible ‘seguir’ las pistas de un usuario en la Red, y utilizar mucha información invadiendo su privacidad. Por ejemplo, en China se utilizará información como el reconocimiento facial de cámaras. ",5,4,He hecho proyectos de los dos tipos,Una clasificación de texto.,Que no salgan errores de guardar el proyecto y compartir.
5122,Chica,6º Primaria,Teléfono móvil,Un aparato que es más comodo,0,1,0,1,0,0,1,1,1,0,1.0,1.0,0.5,1.0,No conozco,Sí,No se ,Chica,6º Primaria,Ordenador portátil,Es la inteligencia llevado acabo por máquinas,1,0,0,1,1,1,0,1,1,1,1,0.5,0.5,1,Que la gente deje de hacer lo que harán las máquinas,5,2,De reconocimiento de textos,Para classificar de que tipo és,"Ninguna, creo que ésta bien así"
5822,Chica,5º Primaria,Tableta,Es  algo que no controlamos nosotros,1,1,0,0,1,1,0,0,1,1,0.75,1.0,1.0,0.75,La verdad no conozco ninguno,Sí,No porque he programado algo pero no esta acabado de el todo,Chica,5º Primaria,Ordenador portátil,la inteligencia artificial es que una maquina sea capaz de resolver problemas.,1,1,0,0,0,1,0,1,1,1,0.75,0.5,0.75,0.5,si se te cae algo encima de ellos que sea liquido pueden saltar chispas.,5,4,De reconocimiento de textos,para clasificar textos.,"no tengo, todo esta genial y se entiende perfectamente."
5127,Chica,6º Primaria,Ordenador fijo,"La inteligencia artificial , es un tipo de inteligencia creada por el ser humano , que según como tu lo programes , hará una cosa u otra . ",0,1,0,1,0,1,1,1,0,1,0.0,1.0,0.75,1.0,"La Inteligencia Artificial puede conllevar ciertos riesgos que pueden hacer que esta sea peligrosa , manipular a la sociedad . Como un escándalo que fue entre Cambridge Analytica en relación con las elecciones presidenciales en E.E.U.U. y el brexit en Reino unido . La inteligencia artificial según los datos que a sido capaz de identificar algoritmos , y datos personales puede ser extremadamente peligrosa . Y podría manipular a las personas haciendo que esas/os puedan salir perjudicados  .",Sí,https://scratch.mit.edu/projects/330132480/editor,Chica,6º Primaria,Ordenador fijo,"La inteligencia artificial , es la inteligencia llevada a cabo por máquinas . Es una inteligencia creada por el ser humano , depende de como la programes tendrá unas funciones u otras . ",0,1,0,0,1,1,1,1,1,1,0,1,1,0.25,Que pueden ser muy buenas armas de escucha o de espionaje . ,4,5,De reconocimiento de textos,"El mismo bloque lo dice para clasificar el texto  . En la pagina de LearningML tu pones los datos , luego el programa los reconoce le das al botón de Scratch , pones el bloque de clasificar texto y te los clasifica                              ","Sinceramente  , no tengo ninguna propuesta para que mejore , me gusta como es en si el programa . Lo que sea que se os ocurra para el proyecto a los fans les gustaran "
3129,Chica,4º ESO,Teléfono móvil,Para mi la inteligencia artificial piensan como un humano,1,1,1,0,1,0,0,1,1,1,0.25,1.0,0.75,0.75,Mas paro ya que utilizaran a los robots antes que a los humanos. No habría vida privada. Podrían ocasionar guerra entre humanos y robots,Sí,"No, lo siento",Chica,4º ESO,Ordenador fijo,Ordenadores con inteligencia de humanos (robots),1,1,0,1,1,0,1,1,1,1,0.75,0.5,0.25,0.25,Paro,1,3,De reconocimiento de imágenes,forma de clasificación de textos,Lo verdad es que no se me ocurre ninguna
3103,Chica,4º ESO,Ordenador portátil,La inteligencia artificial es la llevada a cabo por máquinas.,1,1,1,1,1,1,1,1,1,1,0.25,1.0,0.75,0.75,"Uno de los mayores peligros, es el aumento de paro, ya que se sustituirán personas por robots, más rápidos y baratos.
",Sí,https://scratch.mit.edu/projects/398910507/,Chica,4º ESO,Ordenador portátil,La inteligencia artificial es la inteligencia llevada a cabo por máquinas.,1,1,1,1,1,0,1,1,1,1,0.75,0.75,0.25,1,"La perdida de empleos, aumento de personas con problemas de vista.",4,3,De reconocimiento de imágenes,Es una forma de clasificar los textos.,No se
5172,Chico,6º Primaria,Ordenador portátil,"La inteligencia artificial es una maquina, como podría ser un robot, un cotxe... ",1,1,1,1,1,1,1,0,1,0,0.0,0.0,0.5,1.0,"que empiecen a controlar todo: quitar puestos de trabajo, que la gente se empiece a pelear por la inteligencia artificial (IA) ",Sí,https://scratch.mit.edu/projects/340702322/,Chico,6º Primaria,Ordenador portátil,la inteligencia artificial es una inteligencia que creamos los humanos para que nos ayuden y nos ponen las cosas mas fáciles,1,1,1,0,1,1,1,0,1,1,1,0.5,1,1,que la gente quiera mas i mas la inteligencia artificial i por ello se acaben peleando,5,5,De reconocimiento de textos,para que te de la respuesta de lo que le dices o a que clase pertenece,que te pongan diferentes webs como por ejemplo Wikipedia así te resultara mas fácil y rápido encontrar textos de algún tema
800,Chico,2º ESO,Ordenador portátil,La Inteligencia Artificial es un recurso que consiste en que las maquinas puedan aprender cosas nuevas sin la supervisión de un ser humano y que puedan usar esos datos para solucionar problemas que sin Inteligencia Artificial serían muy difíciles de resolver.,1,0,1,1,1,1,0,1,1,1,0.75,1.0,0.75,0.5,"La Inteligencia Artificial se puede emplear para situaciones un tanto peligrosas. Por ejemplo, existen Inteligencias Artificiales que reconocen la posición de cada persona mediante cámaras sin su consentimiento.",Sí,https://scratch.mit.edu/projects/392539477,Chico,2º ESO,Ordenador portátil,La inteligencia artificial consiste en que un dispositivo esté dotado de cierta inteligancia necesaria para hacer algunos tipos de trabajos.,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,Las empresas pueden usar la inteligencia artificial para reconocer la ubicación de las personas en momentos determinados y así pueden conocen la vida privada de cada persona.,5,5,He hecho proyectos de los dos tipos,"Al poner el bloque ""classify text"" en un proyecto, el ordenador clasifica el texto que le hayas puesto según los datos de entrenamiento que ha recopilado.","Me gustaría que añadieseis reconocimiento de números y de valores numéricos a la herramienta, pues es una categoria muy útil dentro del machine learning y con la que se pueden hacer proyectos muy interesantes, como un modelo que te permita jugar al tres en raya o al ajedrez contra una maquina entrenada con inteligencia artificial."
4107,Chico,4º ESO,Tableta,La forma en la que un dispositivo interpreta la información que obtiene y la forma en la que la expresa.,0,1,1,1,0,1,1,1,1,1,1.0,0.75,1.0,0.0,Que sean usados para algo que no sea el bien común,Sí,https://scratch.mit.edu/projects/258236448,Chico,4º ESO,Teléfono móvil,"La forma en la que nosotros entrenamos a un ordenador, y la forma en la que esté aprende y expresa dicha información.",0,1,1,1,1,1,1,1,1,1,0.75,1,1,0,Usarlos de manera negativa o perjudicial para otra persona.,5,5,He hecho proyectos de los dos tipos,Para que el texto que nosotros le demos al ordenador lo clasifique de una manera u otra.,Un tutorial para los principiantes.
1016,Chica,4º ESO,Ordenador portátil,"es la forma en que las maquinas ""piensan"", son creaciones, programas y metodos informaticos que pueden entender grandes cantidades de informacion y predecir y analizar que hacer con ella; trata de simular la manera en la que los humanos reconocemos e identificamos datos",0,1,1,0,1,1,1,1,1,1,0.75,1.0,0.75,0.75,"Tus datos privados pueden verse expuestos, y pueden causar daños si no se ""controla"" debidamente a los programas IA",Sí,no tengo enlaces de proyectos que he realizado,Chica,4º ESO,Ordenador fijo,"La inteligencia artificial (IA) es un área de la programación y computación, su función es construir máquinas inteligentes capaces de completar tareas que solo la inteligencia humana es capaz de hacer; se busca “imitar” el razonamiento humano y llevarlo a un modelo tecnológico. Esta inteligencia trata de avanzar en la tecnología otorgándole aprendizaje automático y aprendizaje profundo a las maquinas",1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.75,1,"Hablando a un nivel de peligros hacia la humanidad: si no se programa con cautela y siguiendo un modelo bien planificado, un riesgo que se puede correr es el de causar algún accidente (por ejemplo, drones o automoviles automaticos que no funcionen del todo bien y que terminan en fatalidades). También, al caer en las manos equivocadas puede ayudar a hacer hackeos, crímenes cibernéticos o malos usos.",5,4,De reconocimiento de textos,"Para clasificar a un texto que nosotros escribamos en alguna de las clases que hemos puesto al modelo, por ejemplo si incluimos 3 clases, el programa identificará a cual de estos se asemeja mas y nos dará como respuesta alguna de esas 3 clasificaciones","Seria un buena mejora si la herramienta tuviera una menor demora en ""fabricar"" el modelo, poder escribir textos más largos y poder iniciar sesion con una cuenta en ""Scratch LearningML"""
1022,Chica,4º ESO,Ordenador portátil,"creo que esta bien hasta un punto, creo que es muy útil, pero tampoco creo que llegar al punto de que sean solo las maquinas las que trabajen es algo completamente extremista, ya que las personas también necesitan trabajar.",1,1,1,0,1,1,1,0,0,1,0.75,0.5,1.0,1.0,que la población quede desempleada .,Sí,se me olvido la contraseña de mi cuenta,Chica,4º ESO,Ordenador portátil,es la inteligencia llevada a cabo por maquinas ,1,1,1,1,1,1,0,0,0,1,0.75,0.75,1,0.75,que ya no se necesite el trabajo de los humanos,4,4,De reconocimiento de textos,para clasificar el texto entregado sobre un tema,"ninguna, a ocupar lo lo encontré muy completo"
4101,Chica,2º ESO,Teléfono móvil,"Esto de la inteligencia artificial creo que es pues inteligencia pero con cosas electrónicas y cosas así, tipo robots y todo eso",1,0,1,1,0,1,0,1,1,1,0.25,0.5,0.5,0.5,,Sí,https://scratch.mit.edu/projects/259702088/editor,Chica,2º ESO,Teléfono móvil,La inteligencia artifical es la inteligencia que se produce con máquinas. ,1,1,1,0,0,1,0,1,1,1,0.25,0.5,0.5,0.5,,3,,,No he usado aún learningML,
3137,Chica,4º ESO,Ordenador portátil,La inteligencia que está hecha por el ser humano.,1,1,1,0,0,1,1,1,1,1,0.5,0.75,1.0,0.5,,Sí,https://scratch.mit.edu/projects/398882438/,Chica,4º ESO,Ordenador portátil,La inteligencia artificial es la inteligencia de los ordenadores o aparatos electrónicos.,1,1,1,1,1,1,1,1,1,1,0.75,0.5,1,0.5,Uno de los peligros es que sustituyan a los humanos en muchos trabajos y que por lo tanto la gente pierda su empleo o no lo encuentre.,5,4,De reconocimiento de textos,"Classify text es una herramienta que se utiliza para por ejemplo, clasificar tu respuesta y ver si está en el grupo que te lo han preguntado.
EJEMPLO: Tu imagínate que te pregunta sobre el verano, si tu pones el classify y en donde pone texto pones el sensor de respuesta, el programa clasificará tu respuesta y si anteriormente has puesto el operador de igual, te dirá si tu respuesta pertenece al verano o no y por lo tato si es correcto o no.",No tengo ninguna.
5864,Chico,5º Primaria,Tableta,"Es la intelegencia que tienen los ordenadores,moviles ...",1,1,1,0,0,1,1,1,1,1,0.75,0.75,1.0,0.75,Te puedes tirar mucho tiempo con las pantallas.,No,,Chico,5º Primaria,Tableta,"La inteligencia artificial es la inteligencia que utilizan las máquinas,ordenadores...",1,1,0,1,1,1,1,0,1,1,1,0.75,1,0.5,Que te pueden dañar la vista las pantallas.,5,3,De reconocimiento de textos,Es para clasificar los diferentes textos de cada uno de lo que quieras poner.,"Ninguno,porque esta muy bien."
4121,Chico,Otro,Ordenador fijo,Programas que aprenden de los datos introducidos para posteriormente generar una respuesta,1,1,1,0,1,1,1,1,1,1,0.5,1.0,1.0,1.0,El que no haya regulaciones éticas sobre sus uso.,Sí,https://scratch.mit.edu/projects/347467963,Chico,Otro,Ordenador fijo,"programas que analizan los datos, los clasifican y dan una respuesta.",1,1,1,0,1,1,1,1,1,1,0.25,1,1,1,falta de ética en el desarrollo de l misma,4,4,He hecho proyectos de los dos tipos,Clasificar texto en una de las categorías que se ha creado,"Poder trabajar con el modelo en APP Inventor, lo que permitiría desarrollar aplicaciones con dispositivos físicos, tipo placa Arduino."
4123,Chico,4º ESO,Ordenador portátil,"Es como un don que le pasamos a una máquina o alguna creación a la que queramos traspasarle conocimiento para que de este modo tengamos otro ser artificial con dicha inteligencia y, en el caso de un androide, hasta pueden seguir aprendiendo sobre la marcha.",1,1,1,1,1,1,1,1,1,1,0.5,0.75,0.75,0.75,"si consiguen llegar a sentir emociones humanas debidas a la IA que les hemos proporcionado nosotros, son capaces de revelarse y querer formar una nueva especie utilizando medios de reproducción para seguir manteniéndose",Sí,https://scratch.mit.edu/projects/175937746/,Chico,4º ESO,Ordenador portátil,La Inteligencia Artificial (IA) es un sistema que puedes entrenar para que vaya ganando inteligencia poco a poco y empiece a pensar como los humanos.,1,1,1,1,1,1,1,1,1,1,0.25,0.25,0.5,0.5,Que ganen suficiente conocimiento de más y se revelen contra los humanos.,4,4,He hecho proyectos de los dos tipos,Para ayudar a la IA a que reconozca el texto.,Ninguna esta bien como esta.
5151,Chico,6º Primaria,Ordenador portátil,Es lo que hace que la informática funcione ,1,1,1,0,0,0,1,0,0,0,0.5,0.5,0.5,0.5,Que te reconozca passwords,"No, pero he programado en otro lenguage",No he programado en Scratch,Chico,6º Primaria,Tableta,La inteligencia artificial es lo que hace que el mecanismo de las aplicaciones funcione,0,1,1,0,0,0,1,0,1,1,0.5,1,1,0.25,Que en cualquier momento puede fallar el sistema,5,3,De reconocimiento de imágenes,Para clasificar en varios sitios los diferentes textos,Pues yo en general no haría ninguna mejora. Esta muy bien elaborada la herramienta
1029,Chico,4º ESO,Ordenador portátil,Es un tipo de inteligencia que a través de algoritmos programables es capaz de simular el pensamiento humano. Esta se puede implementar en programas para diversos usos. ,1,1,1,1,1,1,1,1,1,1,1.0,1.0,1.0,1.0,"El desempleo puede llegar a ser un peligro para algunas personas hoy en día, debido a un posible remplazo por parte de maquinas inteligentes.
Los problemas de seguridad , ya sean por fallas internas o agentes externos pueden en algunos casos significar incluso la perdida de alguna vida.",Sí,,Chico,4º ESO,Tableta,Es la capacidad de una máquina en distintos niveles de poder simular la inteligencia humana para la resolución de problemas o tareas designadas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"La cantidad de empleos que pueden ser reemplazados por una inteligencia.
La vulnerabilidad que presentan estos sistemas frente a ataques y el impacto que puede provocar un fallo en estos.
",2,4,De reconocimiento de textos,Para buscar las similitudes que presente el texto en las clases existentes y dar un porcentaje basado en estas.,"Me gustaría haber podido experimentar con el sistema que utiliza para aprender de los datos, ya que sin poder ver y conocer esa herramienta es difícil aprender  bien el funcionamiento de una herramienta de ML, restringiéndose únicamente a introducir a los términos que son utilizados y su funcionamiento a un nivel superficial. Sin embargo creo que no ese no es el objetivo y como herramienta complementaria a scratch esta bastante bien y no tuve ningún inconveniente con ella."
3332,Chico,Otro,Ordenador fijo,La inteligencia artificial es una característica aimplementada dentro de los dispositivos mediante la peogramación para que estes realicen diversas tareas sin que nosotros estemos pendientes,1,1,1,1,1,1,1,1,1,0,0.75,1.0,0.75,0.5,,No,,Chico,Otro,Ordenador fijo,Es la capacidad que tienen los dispositivos a aprender a hacer procesos automaticamente gracias a un previo entrenamiento de los humanos,1,1,,1,1,1,1,1,1,0,0.75,1,1,0,No conozco ninguno,5,5,De reconocimiento de imágenes,"No he utilizado el scratch solo la web , pero entiendo para poner una etiqueta dentro de las categorías que debe reconocer",Ninguna creo que está muy bien
5108,Chico,6º Primaria,Tableta,Es una inteligencia superior a la nuestra sabe lo va a passar y lo que vamos a hacer.,0,0,,1,1,0,1,0,1,1,0.5,1.0,0.5,0.75,Que te pueden controlar canviando todas las cosas que haces para que las hagan ellos.,Sí,No me acuerdo.,Chico,6º Primaria,Ordenador portátil,Una inteligencia que nos supera por mucho.,0,1,0,0,1,0,1,0,,0,0.5,0.75,0.25,1,Las IA nos esclavizaran y nos robaran el trabajo.,4,2,De reconocimiento de textos,Para clasificar las etiquetas,que reconociera canciones cuando las tarareemos
3601,Chico,2º ESO,Ordenador portátil,Es la capacidad de los ordenadores de que hagan cosas que no han sido programadas directamente,1,1,1,1,1,1,1,1,1,1,0.75,0.5,1.0,0.25,No conozco ningún peligro,Sí,https://scratch.mit.edu/projects/391397346/editor,Chico,2º ESO,Ordenador portátil,La Inteligencia Artificial es una forma de poder entrenar un programa y que pueda aprender  a base de datos,1,1,1,1,1,1,1,1,1,1,0.75,0.75,1,0.75,No conozco  ningún peligro de la Inteligencia Artificial (IA),5,5,He hecho proyectos de los dos tipos,"El bloque ""clasifica <texto>"" devuelve la clase a la que pertenece el texto de las que hayamos creado.","En mi opinión, el LearningMl es un muy buen programa, pero estaría bien poder utilizar los modelos en otros programas de programación y no sólo en Scratch."
5123,Chico,6º Primaria,Tableta,"Es un robot,como cuando juegas a un juego  i hay bots.

",1,1,1,1,0,1,1,1,1,0,0.25,0.5,1.0,0.5,,No,,Chico,6º Primaria,Tableta,La inteligencia artificial  es la inteligencia llevada por máquinas,0,0,1,0,1,1,1,0,1,1,0.75,0.5,1,0.5,Que se estrope i explote i cause daños,5,3,De reconocimiento de imágenes,,Que pongan para compartir los trabajos
5153,Chica,6º Primaria,Ordenador portátil,,1,1,0,0,0,1,0,0,0,1,0.5,0.25,0.75,0.0," accidentes, malos usos...",Sí,abrar190,Chica,6º Primaria,Ordenador portátil,"
La inteligencia Artificial es todo aquello que tenga que ver con una máquina capaz de resolver problemas",1,0,0,0,0,0,0,0,1,1,0.75,0.5,1,0.25,Armas autónomas,4,3,De reconocimiento de textos,,Pues que hayan muchas mas bloques de este tipo
4501,Chico,2º ESO,Teléfono móvil,Es una inteligencia que está creada por el hombre,1,1,1,0,0,1,1,0,0,1,0.75,1.0,0.5,1.0,"Que sean utilizados ilegalmente, que desarrollen una conciencia y tengan miedo a la muerte, que robots aprendan a crearse a ellos mismos.",Sí,https://scratch.mit.edu/projects/70483648,Chico,4º ESO,Teléfono móvil,Es algo relacionado con la autosuficiencia hasta cierto grado de una máquina.,1,1,1,1,1,1,1,1,1,1,0.75,0.75,1,0.75,"Los que mencioné en mi último test, mi opinión al respecto no ha cambiado.",4,5,De reconocimiento de imágenes,Para asignar a <texto> una de las clases estipuladas en learningML.,En general afinar el sistema de reconocimiento o añadir recomendaciones sobre qué imágenes y textos usar como ejemplos.
4303,Chico,3º ESO,Ordenador portátil,es la inteligencia que tiene una máquina ,1,1,1,0,0,0,1,0,1,0,0.25,0.5,1.0,0.75,no  conozco ningún peligro,Sí,,Chico,3º ESO,Ordenador portátil,La inteligencia artificial es la inteligencia llevada a cabo por máquinas.,,,1,0,0,0,1,0,0,0,0.75,1,0.75,0.75,no conozco ninguno,5,3,He hecho proyectos de los dos tipos,añadir un texto,
3627,Chica,2º ESO,Tableta,"Creo que la inteligencia artificial, es que las máquinas los aparatos electrónicos etc, consigan pensar como seres humanos.",1,1,0,1,1,1,1,1,1,1,1.0,0.75,1.0,0.75,"Captar información y datos personales, ayudar a saber la ubicación de una persona, etc",No,,Chica,2º ESO,Ordenador portátil,Todo aquello que sea que una máquina sea capaz de resolver un problema para el que se necesite algún tipo de inteligencia.,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,,5,4,De reconocimiento de textos,Sirve para que clasifique la respuesta en los bloques con que tu lo hayas entrenado previamente.,
3139,Chico,4º ESO,Ordenador portátil,"Es un invento, que como su prpio nombre indica, Son sistemas que piensas como humanos al ser inventada recibe el nombre de ¨artificial¨",1,1,1,1,0,0,1,1,0,0,0.5,0.75,1.0,0.25,Que abarcam cada vez nuestra vida quitando trbajo y dejando a mucjas personas sin el.,No,No lo he prpgrmado,Chico,4º ESO,Ordenador portátil,La Inteligencia artificial es el campo científico de la informática que se centra en la creación de programas y mecanismos que pueden mostrar comportamientos considerados inteligentes.,0,1,1,1,0,1,0,0,1,0,0.75,0.75,0.75,0.25,"Armas autónomas
Manipular a la sociedad
Invasión de la privacidad para oprimir socialmente
Discriminación
Divergencia entre nuestros objetivos y los de la máquina de IA",4,2,He hecho proyectos de los dos tipos,En este boton puedes adjuntar un texto el cual ¨Tu personaje¨ dira como si fuera un ¨Bocadillo¨. Tambiem tiene más usos.,Facilitar a la hora de guardar tu proyecto o a la forma de compartirlo.
4109,Chico,4º ESO,Ordenador fijo,Es la capacidad que tiene un robot de ir aprendiendo por si mismo,1,1,1,1,1,1,1,1,1,1,0.75,0.25,1.0,1.0,"Que sustituya al ser humano en la mayoria de los campos en los que hoy participa, dejando a este para una vida meramente recreativa.",Sí,https://scratch.mit.edu/projects/175549684/,Chico,4º ESO,Ordenador fijo,"Es la capacidad que tiene una maquina/programa para, a raiz de una base de datos, dividir y distinguir textos o imagenes.",1,1,1,1,1,1,1,1,1,1,1,0.75,1,0.5,"Actualmente, lo único que veria sería la posibilidad de que algunos trabajos desaparezcan.",5,5,De reconocimiento de textos,Es el bloque con el cual el programa identifica a que grupo perteneceria el texto en cuestion,"La posibilidad de guardar en la nube, ya que en las pruebas que he realizado, me ha dado error."
4103,Chico,2º ESO,Ordenador portátil,Es el diseño y programación de robots.,1,1,1,0,1,1,1,0,1,1,0.25,1.0,1.0,0.75,"Que funcionen mejor que el propio ser humano,y acaparen puestos de trabajo.",Sí,https://scratch.mit.edu/projects/379514588/editor/,Chico,2º ESO,Ordenador portátil,"Es el diseño y programación de máquinas, para que realicen varias acciones.",0,1,1,0,1,1,1,0,1,1,1,1,0.75,0.75,"Que la IA se use en malas manos como un arma.
Que la IA sea tan inteligente que sustituirá a los humanos en casi todo.",5,3,De reconocimiento de textos,"Para reconocer textos similares a los textos de una clase, tipo o conjunto.",Que hiciesen un programa en el que el ordenador crea sus propias frases y sus pensamientos.
4300,Chico,Otro,Ordenador portátil,"El desarrollo de programas y sistemas artificiales de computación que realicen acciones, que en el caso de haber sido realizadas por humanos, no dudaríamos en afirmar que es necesario el uso de la inteligencia",1,1,1,1,1,1,1,1,1,1,0.25,1.0,1.0,1.0,"La brecha tecnológica puede ocasionar que una gran parte de la población no pueda acceder al conocimiento. 
Automatizar la toma de decisiones sin supervisión humana",Sí,https://scratch.mit.edu/projects/306888654,Chico,Otro,Ordenador portátil,Programas que realizan acciones que si las realizaran humanos no dudaríamos en afirmar que ha sido necesaria la inteligencia para su realización,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,Que la toma de decisiones cada vez requiera menos de la presencia de personas. La brecha digital que puede provocar que una parte importante de la población quede al margen de los conocimientos necesarios para operar con IA,5,5,De reconocimiento de imágenes,Para asignar un texto a una etiqueta,Complementarla con appinventor. 
4305,Chico,Otro,Ordenador portátil,Es un sofware que se le programa a un robot o maquina que hace capaz que reciba informacion y aprenda poco a poco de ellas y que pueda dar respuestas automaticas sin tener que ser programadas,1,1,1,1,1,1,1,1,1,1,0.5,0.5,0.75,0.75,que puede llegar a peligrar el ser humano basico que no sirve para hacer tareas que no puedan hacer los robots ,Sí,https://scratch.mit.edu/projects/186862260/,Chico,Otro,Ordenador portátil,es el sofware diseñado para que pueda tener pensamientos propios parecidos a un humano,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,0.25,que podria llegar a sustituir trabajos que realizan los humanos,3,5,He hecho proyectos de los dos tipos,para que la maquina compare los gruposs y decida a que grupo se parece mas,que se pueda guardar en la nube y que pierda el parecido con scratch
4111,Chico,4º ESO,Ordenador portátil,Es una entidad artificial que aprende por si misma.,1,1,1,1,0,1,1,1,1,1,0.75,0.75,0.5,0.75,"Que nos volvamos tan dependientes de ellas que nuestras vidas se vuelvan monótonas y únicamente recreativas, además, de que se creen robots con esas IA y en cualquier momento aprendan de forma negativa y acaben revelándose contra nosotros.",Sí,https://scratch.mit.edu/projects/248536344,Chico,4º ESO,Ordenador portátil,Es un programa que a partir de una serie de entrenamientos que se le da en su programación va aprendiendo por si solo,1,1,1,1,1,1,0,1,1,1,0.5,1,0.75,0.5,,5,4,He hecho proyectos de los dos tipos,Para comparar entre los grupos con los que se ha entrenado la IA y elegir la mas parecida,
1013,No quiero responder,4º ESO,Ordenador portátil,inteligencia humana reflejada en máquinas o dispositivos,0,0,0,1,0,1,0,1,1,1,0.25,0.5,0.75,0.5,su mal uso,Sí,no xd,No quiero responder,4º ESO,Ordenador portátil,Procesos que requieren aristas de la inteligencia humana,1,1,0,1,1,1,1,1,1,1,0.75,0.5,0.75,1,que falle,1,5,De reconocimiento de textos,para clasificar las respuestas con las clases,"que funcione bien al momento de poner frases de ejemplos en las clases. mientras más extensa/ completa sea la frase, más inexacto se vuelve. saludos"
1006,No quiero responder,4º ESO,Ordenador fijo,maquina capaz de aprender ,1,1,1,1,0,1,1,1,1,1,0.5,0.75,1.0,0.5,pueden fallar en un momento crucial,Sí,,No quiero responder,4º ESO,Teléfono móvil,Procesos que imitan las aristas de la inteligencia humana,1,1,0,1,1,1,1,1,1,1,0.75,0.5,0.75,1,Que falle,1,5,De reconocimiento de textos,Clasificar ,Que identifique frases ya que al ser sólo palabras no puedo hacer de temas con respuesta similares pero que a la vez se diferencian
1033,Chica,4º ESO,Ordenador portátil,Es el intento de imitar la inteligencia humana,1,1,1,0,0,1,1,1,1,0,0.25,0.75,0.5,0.75,  ,No,,Chica,4º ESO,Ordenador portátil,"la IA es el intento de imitar la inteligencia humana usando un robot, o un software.",1,1,0,1,1,1,1,1,1,1,0.75,0.75,0.5,0.5,Que pueda fallar,2,4,De reconocimiento de textos,Para clasificar las respuestas con las clases,Que mejore su identificación de frases y palabras 
1011,Chica,4º ESO,Ordenador portátil,"Es la inteligencia de los objetos/aparatos tecnológicos, como por ejemplo software, el funcionamiento interno de las máquinas tecnológicas, etc.",1,1,0,0,1,1,1,1,1,1,0.25,1.0,1.0,1.0,La verdad es que no considero que sea un peligro todo lo contrario.,No,,Chica,4º ESO,Ordenador portátil,inteligencia representada en artefactos electrónicos mediante ciertas operaciones o realizaciones de comandos.,0,1,0,1,1,1,1,1,0,1,0.5,0.25,1,1,"nunca tener la misma perspectiva frente a los problemas, que tenemos los humanos, ya que por mucho me podamos ocupar machine learning nunca lograran percibir al igual que nosotros las cosas.",5,4,De reconocimiento de textos,para clasificar la respuesta y luego así compararla con el modelo que queremos probar.,"mejora en el modelo, ya que por mucho que se entrene siempre comete errores aunque yo sea muy precavida en los textos."
5152,Chica,6º Primaria,Ordenador portátil,Es el uso de un programa para hacer que algo sea inteligente cuando no lo es.,1,1,0,0,1,1,1,1,1,1,0.25,0.25,1.0,0.75,,Sí,https://scratch.mit.edu/projects/348213259,Chica,6º Primaria,Ordenador portátil,Es todo aquello que tenga que ver con hacer que una maquina sea capaz de resolver problemas que necesitan inteligencia.,0,1,1,1,1,1,1,1,1,1,0.5,0.25,0.75,0.75,,5,4,De reconocimiento de textos,Sirve para clasificar el texto entre los tipos de frases que hemos creado,Que cuando tu crees un projecto este se guarde automaticamente.
